,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,mathbaria,22.29,89.96,81.77,90,100,4.12,BD,1597097384
1,ushuaia,-54.8,-68.3,33.8,80,40,18.34,AR,1597097384
2,fengxian,34.7,116.59,75.9,94,23,3.67,CN,1597097384
3,saint george,37.1,-113.58,102.99,7,1,8.05,US,1597097253
4,srednekolymsk,67.45,153.68,46.44,63,59,7.38,RU,1597097385
5,shellbrook,53.22,-106.4,71.6,46,75,20.8,CA,1597097385
6,hermanus,-34.42,19.23,46.0,94,0,9.89,ZA,1597097160
7,hobyo,5.35,48.53,74.82,80,78,27.85,SO,1597097386
8,rikitea,-23.12,-134.97,69.93,72,62,24.94,PF,1597097157
9,port alfred,-33.59,26.89,56.25,79,0,6.04,ZA,1597097160
10,karla,59.37,24.93,63.0,67,0,4.7,EE,1597097387
11,abong mbang,3.98,13.18,67.44,98,79,4.09,CM,1597097387
12,bredasdorp,-34.53,20.04,50.0,93,0,3.36,ZA,1597097387
13,mataura,-46.19,168.86,48.0,83,90,7.0,NZ,1597097167
14,sorland,67.67,12.69,51.8,81,66,6.93,NO,1597097388
15,torbay,47.67,-52.73,79.0,57,75,16.11,CA,1597097388
16,olinda,-8.01,-34.86,77.0,73,40,12.75,BR,1597097389
17,turukhansk,65.82,87.98,53.96,84,0,5.19,RU,1597097389
18,bluff,-46.6,168.33,48.0,83,99,7.0,NZ,1597097389
19,butaritari,3.07,172.79,81.84,78,94,12.48,KI,1597097166
20,barrow,71.29,-156.79,39.2,100,90,10.29,US,1597097390
21,mount gambier,-37.83,140.77,51.8,76,100,14.99,AU,1597097390
22,busselton,-33.65,115.33,53.01,98,81,16.93,AU,1597097391
23,bengkulu,-3.8,102.27,75.74,92,62,5.01,ID,1597097391
24,east london,-33.02,27.91,58.84,64,0,6.82,ZA,1597097181
25,khash,28.22,61.22,72.01,23,51,4.54,IR,1597097391
26,aguimes,27.91,-15.45,73.99,69,20,25.28,ES,1597097391
27,tuktoyaktuk,69.45,-133.04,50.0,76,90,4.7,CA,1597097392
28,tabou,4.42,-7.35,75.02,84,60,11.32,CI,1597097392
29,dikson,73.51,80.55,40.06,92,100,18.66,RU,1597097386
30,russell,32.35,-85.2,91.4,55,1,5.82,US,1597097392
31,sri aman,1.24,111.46,75.2,94,100,3.36,MY,1597097393
32,kodiak,57.79,-152.41,64.4,45,1,13.87,US,1597097253
33,biak,-0.91,122.88,76.51,84,42,5.21,ID,1597097393
34,souillac,-20.52,57.52,64.4,77,40,6.42,MU,1597097393
35,kapaa,22.08,-159.32,84.2,66,75,14.99,US,1597097379
36,ostrovnoy,68.05,39.51,49.32,81,100,6.87,RU,1597097383
37,yilan,24.76,121.75,84.0,94,75,3.36,TW,1597097394
38,punta arenas,-53.15,-70.92,32.0,88,75,17.22,CL,1597097394
39,kushiro,42.98,144.37,69.89,92,41,6.51,JP,1597097394
40,divo,5.84,-5.36,70.03,93,99,3.62,CI,1597097395
41,qaanaaq,77.48,-69.36,44.24,56,2,4.54,GL,1597097382
42,hobart,-42.88,147.33,36.0,93,20,5.82,AU,1597097246
43,beruwala,6.48,79.98,78.49,89,72,7.11,LK,1597097396
44,longyearbyen,78.22,15.64,48.2,81,75,10.29,SJ,1597097396
45,olhao,37.03,-7.84,78.8,47,0,5.82,PT,1597097396
46,atuona,-9.8,-139.03,79.39,66,0,19.77,PF,1597097169
47,kupang,-10.17,123.58,73.4,88,40,3.36,ID,1597097397
48,carnarvon,-24.87,113.63,62.6,100,90,16.11,AU,1597097397
49,ribeira grande,38.52,-28.7,70.48,74,7,14.38,PT,1597097397
50,ondjiva,-17.07,15.73,64.08,27,0,4.85,AO,1597097398
51,luderitz,-26.65,15.16,53.6,87,0,11.41,NA,1597097398
52,nemuro,43.32,145.57,67.6,92,3,11.27,JP,1597097398
53,itarema,-2.92,-39.92,78.28,77,0,15.35,BR,1597097398
54,new norfolk,-42.78,147.06,34.0,92,0,3.11,AU,1597097161
